Dist	Intercept	LogBias1	LogBias2	RSS_LM	R.square_LM	AIC_LM
282511	0.20797508882183	0.20060997761224	0.229211529165835	1569.33036706209	0.400453854588271	128.766509304767
292497	0.229363599274007	0.278547984596422	0.23296030249076	1464.97541377776	0.484028183517325	106.649156923982
302492	0.2073631593258	0.275210111757427	0.198667114444856	1852.54361223313	0.591936601457819	169.046794821501
312500	0.203695858173427	0.246767819698468	0.223152853207683	1385.70641588815	0.458029894460978	85.181525604142
322497	0.179162429784812	0.263300848705431	0.216875236307828	1110.71923144842	0.294758263718171	10.9659464372744
334982	0.188275919310125	0.235294167742008	0.180120680005674	1687.30605215449	0.33211354670147	29.8185359189792
350000	0.177844014985017	0.174651825568266	0.219891678140223	1877.60600702459	0.283901508659889	49.5331934875373
365017	0.17035696787385	0.213254227576086	0.20171970178072	1805.69119408104	0.389477984951652	59.3502658983045
380005	0.161621762401951	0.22691703606954	0.20812556425704	1755.1920030181	0.337390031676656	16.63892615689
395000	0.146642640554476	0.192253761039667	0.22114161720777	1303.91577025675	0.290018742237207	-59.2319907924561
410017	0.147964727005262	0.185094242819237	0.216637582309924	1447.40693541	0.225520374960197	-40.377750732702
424994	0.143562232310373	0.151676656061429	0.173012275470326	1443.60382839697	0.183080965800683	-14.2979744924026
440000	0.164868443934307	0.110216686164043	0.16829149713264	1495.83912986924	0.280497191286089	25.7691963853246
457498	0.150620300974284	0.176520062484706	0.122307509276995	1548.83065689926	0.0260831900151357	-46.6213940292976
477524	0.120243976371609	0.152652407789039	0.136340042839154	1396.26826413082	-0.0950462978825184	-145.747153760583
497493	0.123725338215882	0.140227442290876	0.163362266271098	2017.74680336131	0.418353553276931	3.17970418984883
517498	0.111516283121831	0.175070087462111	0.124948027489213	1175.70597118615	-0.0573683711040383	-198.616021047778
537523	0.115170667829774	0.0987071124158903	0.106457605820844	1153.23949735526	-0.380169146541792	-199.330118487207
559960	0.102506512578329	0.127057302571665	0.158735279581576	1725.80876114805	0.251639321656501	-163.638367050685
584989	0.112033145874763	0.154554088144106	0.0937297370271204	1060.00924316364	-0.618157079980127	-256.136724754366
612538	0.0977119853248913	0.13078738067937	0.138669698711729	1476.99737483185	-0.0537421853352409	-220.030487088369
642559	0.0975906058016115	0.144177469639003	0.0960708377416504	1279.95469135487	-0.680887652479536	-335.255878754176
672473	0.0943743467184182	0.134820741327331	0.094587447270488	1343.16141548608	-0.379438978374674	-269.68723382047
705019	0.0927855738655583	0.182048086684861	0.101974528648944	1511.43125458724	-0.00410999058353179	-260.028884180505
742547	0.0714439447009041	0.0863808475536009	0.0778535423481507	1210.81403723833	-1.26323857794251	-572.118627955688
787552	0.0686388531388821	0.0616166832420511	0.0492941997081963	1168.13645759384	-2.17869650208511	-699.833841064677
837447	0.0569292943228918	0.0676451338185449	0.0641921418026206	1216.92563793107	-1.79760479167448	-742.710138664677
889980	0.0549954724152382	0.0386163679583987	0.060431076909904	1151.80483970005	-2.71847274531881	-926.370640121907
949944	0.0421873925301828	0.0557920218196911	0.0483784568854154	1094.74126084231	-3.70130804619909	-1084.79418419648
1012515	0.0450359298925526	0.0442061494974422	0.0693536848507745	1035.67639149414	-3.995594283831	-1061.60518860238
1074960	0.0595386782059429	0.0789719831811433	0.0770777962548379	1060.97621605124	-1.79068384396639	-635.323924774289
1145086	0.0532560290454636	0.0690038718039896	0.0890167296370335	1018.4606517727	-3.22990107498679	-898.585386683665
1224961	0.0421608853377239	0.0417346746853297	0.050602284235052	962.186536495381	-4.17229937000548	-1026.8257416217
1314980	0.0341811605206404	0.0416565237228964	0.0453059715795148	1166.42001430562	-2.45969714037384	-1228.83391100528
1412453	0.0496774292411352	0.0816255742134665	0.0633269946488659	1097.45661407976	-2.36933437757941	-827.528153249537
1524934	0.0324116519153308	0.0653049575848179	0.0182531933654472	1040.80354052038	-5.40746170730997	-1377.3635149871
1655067	0.0340437392953782	0.0577482369278064	0.04594893504262	998.645733525405	-5.50627746193427	-1291.51107372936
1794874	0.0270227946397616	0.0569747751102838	0.0612591933914474	995.063853526667	-6.3674488234049	-1434.85498245062
