Dist	Intercept	LogBias1	LogBias2	RSS_LM	R.square_LM	AIC_LM
20000	1.02771198019845	0.620503758192913	0.604214525096667	2075.97273784483	0.995307552512194	347.192406158609
25000	0.948597961586546	0.646755810132881	0.626644444007007	2653.98319904554	0.992937251420494	434.791137509326
30000	0.875895250539598	0.654900870519771	0.615509360084354	2739.74007212253	0.991691829071004	466.850770781555
35000	0.79004542176795	0.641968068527055	0.577557213339341	3064.25419463006	0.987347207697984	488.478154235238
40000	0.766425260902846	0.573810730612736	0.547054363493549	2938.90325373226	0.984727904248253	477.237867649426
45000	0.717317113984638	0.571828483112067	0.530171516316734	2857.67148985891	0.975410970051579	488.514389851438
50000	0.701074307159226	0.557302962092166	0.492321465655983	3572.80132331136	0.977755933687334	507.199425631105
55000	0.693899189714	0.541729647158927	0.522820356680887	2923.61446737751	0.972642800790157	448.785676285286
60000	0.637098457434238	0.553973550420423	0.500235152647009	3093.70238217566	0.978168225566192	473.5502830672
65000	0.603909037162703	0.595329205906728	0.545467762492427	2484.13129157935	0.979233061452818	414.122756927888
70000	0.561536652794387	0.645743304670689	0.528904154698756	2598.38577790602	0.97950030499071	383.099659095179
75000	0.558835918301187	0.587725208322408	0.511440809135427	1926.81288284264	0.959646558613669	311.726425061377
80000	0.542835421844353	0.520929885438634	0.477488956238322	2027.63100387413	0.94641358137788	348.688312710949
85000	0.521239051494056	0.558145988685691	0.485782345851002	1841.47955558538	0.942440051801796	332.679178384832
90000	0.514030760911087	0.548867188876948	0.382089409255027	1781.63952889153	0.946513144640705	310.11701632887
95000	0.499137146917764	0.526406817096263	0.384823653950308	2039.27199171524	0.93003367668057	373.482504944459
100000	0.482857714715616	0.529072993528789	0.31652798343576	2146.65768244728	0.884902713664213	363.355368916266
105000	0.450048257013312	0.528928162105415	0.393098793661269	1933.1678607651	0.908161475959178	292.359242191842
110000	0.443683470082489	0.560140486634155	0.474246215065937	2234.37264683276	0.914620534261371	320.487187378132
115000	0.413481340596518	0.500268965155294	0.412376898439666	1799.06263674384	0.924459171666174	274.792263363425
120000	0.412438013706307	0.478883060800193	0.390730515442189	1636.4225457054	0.886210145648879	257.017401095297
125000	0.403954180089319	0.424309120182577	0.380232526716779	2232.6886588233	0.838962939806923	300.077038595501
130000	0.409509808997148	0.378568751266261	0.302278412375912	2118.24506946286	0.832327504494812	299.737045939742
135000	0.426341367312986	0.361713391320193	0.436551442260044	2727.6922554634	0.954488134238942	320.256591964583
